,Timestamp,ApparentTemperature,AirTemperature,DewPointTemperature,RelativeHumidity,WindSpeed,WindDirection,SolarGeneration
124,1/2/2020 7:15,11.78666667,12.49333333,9.833333333,83.86666667,3.6,80.0,2.259
125,1/2/2020 7:30,12.02666667,13.14666667,9.933333333,80.93333333,5.893333333,93.73333333,3.179
126,1/2/2020 7:45,13.72,14.22,10.15333333,76.66666667,3.12,100.8666667,4.025
127,1/2/2020 8:00,15.68,16.03333333,10.5,69.73333333,3.0,101.6,4.774
128,1/2/2020 8:15,16.66,16.67333333,10.36666667,66.33333333,0.72,102.3333333,5.438
129,1/2/2020 8:30,16.28,17.0,9.74,62.26666667,3.8,260.8666667,6.728
130,1/2/2020 8:45,16.82,17.9,9.286666667,57.13333333,4.826666667,237.7333333,7.574
131,1/2/2020 9:00,16.98,18.92,8.54,50.86666667,8.386666667,143.2,8.8
132,1/2/2020 9:15,18.51333333,19.60666667,8.68,49.2,4.013333333,138.6666667,9.614
133,1/2/2020 9:30,17.99333333,19.96666667,8.226666667,46.73333333,8.093333333,96.46666667,10.353
134,1/2/2020 9:45,19.12,20.61333333,8.313333333,45.13333333,5.653333333,154.8666667,10.68
135,1/2/2020 10:00,19.12666667,21.1,7.766666667,42.2,7.466666667,177.2,10.799
136,1/2/2020 10:15,19.59333333,21.50666667,7.513333333,40.46666667,6.84,197.4,11.678
137,1/2/2020 10:30,19.58666667,21.78666667,7.3,39.13333333,8.093333333,143.2666667,12.535
138,1/2/2020 10:45,20.6,22.27333333,7.466666667,38.46666667,5.533333333,287.7333333,13.091
139,1/2/2020 11:00,20.94666667,23.22666667,7.933333333,37.53333333,9.32,216.6666667,13.949
140,1/2/2020 11:15,21.71333333,23.98666667,7.966666667,35.93333333,9.2,198.0,14.188
141,1/2/2020 11:30,21.01333333,23.64666667,9.28,40.2,12.99333333,214.1333333,14.582
142,1/2/2020 11:45,21.01333333,23.71333333,11.26666667,45.6,16.02,249.4666667,16.105
143,1/2/2020 12:00,20.78666667,23.78666667,10.92,44.33333333,17.12,236.6,17.062
144,1/2/2020 12:15,21.72,24.44,11.11333333,43.2,15.78,240.0,17.332
145,1/2/2020 12:30,21.66,24.48666667,10.74,42.0,15.66,238.8666667,18.068
146,1/2/2020 12:45,22.17333333,24.65333333,10.67333333,41.4,13.84,243.1333333,18.765
147,1/2/2020 13:00,22.64666667,25.24,10.92,40.66666667,15.04,250.3333333,18.989
148,1/2/2020 13:15,22.36,25.36,10.56,39.4,16.42,242.4,19.841
149,1/2/2020 13:30,22.48,25.62666667,10.54,38.73333333,17.24,242.8666667,20.791
150,1/2/2020 13:45,22.52666667,25.54666667,10.26666667,38.2,16.14,239.5333333,21.572
151,1/2/2020 14:00,22.36,25.58,10.38,38.4,17.6,244.0,20.991
